card,pos0,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51
2♠,192363,192555,192010,192236,192792,192284,191981,192361,192089,192866,192642,192035,192275,192765,192738,192124,192621,191961,192506,191644,192383,191460,192224,192009,192271,192615,191652,192214,192541,193178,192111,192812,191147,192070,192352,192299,191931,191400,192504,192923,192104,192450,192074,192834,192149,192507,191999,192281,192225,193536,193007,191890
3♠,191747,192158,192550,193103,192720,192154,192317,192200,191409,191902,192560,191629,191467,192051,192697,193085,192537,192325,191909,192174,192672,192593,191817,191543,192254,192558,192246,192714,191711,192444,192812,193282,192697,192123,191653,191989,192420,192472,192716,192365,192386,192538,192446,191985,192402,192577,192943,192121,192076,192641,192324,191786
4♠,192147,192467,191760,193082,192263,191924,192070,191542,191702,192212,191328,192278,192205,192504,191969,192254,192937,193089,191827,192750,191802,192357,192118,192682,192378,191976,192587,192951,193383,192382,192060,191867,192618,192325,192870,191830,192950,192076,192644,192189,191930,193150,192140,193077,192815,192395,191935,191927,191611,192227,191746,192692
5♠,192573,191911,191969,191717,192418,192494,192840,193134,191271,192058,192715,192948,192430,192469,192151,192249,191989,191947,192740,192144,192129,191970,191783,192378,192072,191728,192544,192318,192400,193097,192590,192677,192759,191832,192535,192889,191649,192642,192007,192750,192274,192988,191841,192656,192237,191726,192822,192588,191714,191893,192202,192143
6♠,192164,192526,192049,192160,192446,191775,192673,192319,191962,191872,191667,191749,193024,191439,192763,192080,192356,192163,192655,192060,191625,192833,192437,193038,191924,191961,192148,192312,191804,192594,192237,192693,193265,192939,192668,192607,192062,193118,191669,192059,192534,192910,192040,192792,192178,192438,192357,191950,192081,192132,192547,192146
7♠,192137,192182,192162,192606,192335,191800,191770,193478,191656,192433,192373,191888,192008,192377,192277,192824,192078,192179,192882,192359,192791,192584,193208,192044,191896,192449,193128,191781,192404,192127,192715,192280,191649,192162,191988,191901,192217,192253,191604,192850,192555,192480,191872,192471,192028,192172,191793,192953,191973,192618,193214,192036
8♠,191752,192790,193082,192600,192285,192268,192749,192769,192176,192677,192525,192201,191963,192263,192149,191466,191633,192703,192077,192113,192746,191943,192404,192383,192233,192258,192560,192015,192143,192644,192363,192821,193087,192126,191864,191930,192362,192268,192709,192220,192988,191868,191980,192394,192552,192916,191914,191642,192269,192625,191640,191892
9♠,192475,192317,191551,191651,192813,191705,192607,191763,192255,193022,191923,192525,192239,193039,192866,192546,191917,191997,192151,192605,192358,192269,191907,192004,192521,192504,192953,190917,191750,192738,192583,192163,192502,191816,191691,191559,192210,192343,193188,191983,192487,192792,192131,192378,192336,192370,192593,192088,193125,192631,192361,192782
10♠,192267,192150,191984,192077,192225,191830,192138,191835,192635,192171,192397,192071,192193,192155,192510,192438,192346,192911,192454,193091,192676,191765,191691,192373,192944,193324,192648,192345,192807,192107,193017,192333,192191,191947,191682,192779,191664,191954,192661,193010,191785,192156,192315,192490,193093,191973,192282,192202,191835,191972,191348,192753
J♠,192489,192817,191346,192943,192161,192438,192070,191848,192649,192435,192878,191653,192942,192591,191615,191883,192224,192308,192544,193195,192143,191999,192443,191490,192253,191869,192721,193671,192119,191952,191542,192263,192926,192324,192321,192390,192161,192830,192431,191469,192493,192286,192998,191898,192498,192282,191880,191963,191979,192274,192697,192406
Q♠,192430,192176,192543,191878,191179,192585,192614,192582,191650,192568,191987,191802,192212,191781,192882,192109,192841,192186,192383,192693,192375,192548,192188,191918,192670,191825,191796,192130,192217,191989,192345,192556,192266,192125,192689,192638,192756,191811,193198,191716,192739,192170,191797,192674,192684,191769,192916,192475,192760,192375,191898,192906
K♠,192179,192723,191885,192573,193609,191690,191435,192483,192118,192814,192049,192620,192305,191605,192024,191397,192608,192139,192285,192145,192561,192621,192873,192309,192452,192252,192022,192629,192725,192496,192161,192554,192316,192117,191901,192134,192307,192112,192423,192399,192118,191807,192435,192096,192486,191996,192613,192086,193101,192332,192797,192083
A♠,192238,192367,192332,191575,191994,192597,192219,192530,192064,191798,192662,192370,191702,192149,192069,192422,192796,192495,192557,191150,192932,193036,191931,192353,192351,192809,192645,192429,192508,191720,191620,191699,191908,192496,192188,193306,192073,192757,192508,192200,192999,191825,191717,192685,192801,192299,192453,192687,192125,193046,191685,192123
